Frequency,Z,?°
33 kHz,39.8736 m?,-139.418 °
34 kHz,40.6086 m?,-138.483 °
35 kHz,41.1987 m?,-137.177 °
36 kHz,41.4455 m?,-136.197 °
37 kHz,42.3687 m?,-135.434 °
38 kHz,42.1812 m?,-134.522 °
39 kHz,42.664 m?,-133.544 °
40 kHz,43.046 m?,-132.409 °
41 kHz,43.4573 m?,-133.294 °
42 kHz,43.8097 m?,-134.32 °
43 kHz,44.2748 m?,-135.643 °
44 kHz,44.5895 m?,-136.383 °
45 kHz,44.9507 m?,-137.197 °
46 kHz,45.1495 m?,-137.609 °
47 kHz,47.1343 m?,-126.582 °
48 kHz,47.8408 m?,-126.595 °
49 kHz,48.2531 m?,-126.734 °
50 kHz,48.3369 m?,-127.479 °
51 kHz,48.8808 m?,-126.104 °
52 kHz,49.6862 m?,-126.647 °
53 kHz,50.7571 m?,-126.265 °
54 kHz,50.4684 m?,-125.96 °
55 kHz,50.8705 m?,-124.873 °
56 kHz,51.6742 m?,-124.156 °
57 kHz,52.4895 m?,-123.901 °
58 kHz,53.1359 m?,-123.234 °
59 kHz,53.567 m?,-122.89 °
60 kHz,54.1323 m?,-122.073 °
61 kHz,54.8469 m?,-121.927 °
62 kHz,55.6588 m?,-121.552 °
63 kHz,56.6882 m?,-121.244 °
64 kHz,57.1945 m?,-120.829 °
65 kHz,58.183 m?,-120.415 °
66 kHz,58.6936 m?,-120.11 °
67 kHz,59.4513 m?,-119.815 °
68 kHz,60.0171 m?,-119.703 °
69 kHz,60.9615 m?,-118.902 °
70 kHz,61.5411 m?,-118.639 °
71 kHz,62.2445 m?,-118.507 °
72 kHz,63.1114 m?,-117.951 °
73 kHz,63.603 m?,-117.488 °
74 kHz,64.5863 m?,-117.174 °
75 kHz,65.3136 m?,-116.619 °
76 kHz,66.1509 m?,-116.368 °
77 kHz,66.8901 m?,-116.02 °
78 kHz,67.5345 m?,-115.477 °
79 kHz,68.5495 m?,-114.868 °
80 kHz,69.0788 m?,-114.572 °
81 kHz,69.9166 m?,-114.377 °
82 kHz,70.4012 m?,-114.184 °
83 kHz,71.1135 m?,-114.044 °
84 kHz,71.5994 m?,-114.017 °
85 kHz,72.5575 m?,-113.654 °
86 kHz,73.2112 m?,-113.271 °
87 kHz,73.8743 m?,-113.115 °
88 kHz,74.371 m?,-112.931 °
89 kHz,75.1316 m?,-112.616 °
90 kHz,75.8726 m?,-112.334 °
91 kHz,76.7758 m?,-111.928 °
92 kHz,77.2403 m?,-111.783 °
93 kHz,77.9404 m?,-111.597 °
94 kHz,78.5553 m?,-111.442 °
95 kHz,79.0907 m?,-110.96 °
96 kHz,80.0504 m?,-110.89 °
97 kHz,80.9831 m?,-110.567 °
98 kHz,81.5548 m?,-110.278 °
99 kHz,82.5069 m?,-109.936 °
100 kHz,83.1557 m?,-109.716 °
200 kHz,162.743 m?,-98.7765 °
300 kHz,247.532 m?,-95.053 °
400 kHz,329.841 m?,-93.5418 °
500 kHz,418.677 m?,-92.3722 °
600 kHz,508.796 m?,-91.8026 °
700 kHz,594.373 m?,-91.4295 °
800 kHz,699.501 m?,-90.8925 °
900 kHz,788.645 m?,-90.5733 °
